Image#  Defocus1  Defocus2  Astig
  301   32902.0   32143.8    8.59
  302   33445.4   32787.8   71.46
  303   29858.2   30940.5   -6.15
  303   29858.2   30940.5   -6.15
  303   29858.2   30940.5   -6.15
  303   29858.2   30940.5   -6.15
  304   29036.4   28526.6   55.63
  304   29036.4   28526.6   55.63
  305   28164.4   27987.0  -69.77
  305   28164.4   27987.0  -69.77
  306   25560.4   24960.0   66.47
  306   25560.4   24960.0   66.47
  306   25560.4   24960.0   66.47
  307   42085.0   40955.6   76.71
  307   42085.0   40955.6   76.71
  308   45887.8   43370.8   76.31
  308   45887.8   43370.8   76.31
  308   45887.8   43370.8   76.31
  309   48895.3   49942.7    1.93
  309   48895.3   49942.7    1.93
  309   48895.3   49942.7    1.93
  310   31644.3   30815.5   78.48
  310   31644.3   30815.5   78.48
  310   31644.3   30815.5   78.48
  311   34824.3   34051.2   74.88
  311   34824.3   34051.2   74.88
  312   31477.1   32517.3   -8.80
  313   32148.2   30607.7   59.88
  313   32148.2   30607.7   59.88
  313   32148.2   30607.7   59.88
  313   32148.2   30607.7   59.88
  314   35563.7   37723.8   -7.81
  314   35563.7   37723.8   -7.81
  314   35563.7   37723.8   -7.81
  315   38932.5   38071.6   72.48
  316   43252.2   41352.4   75.98
  316   43252.2   41352.4   75.98
  317   27457.8   26533.6   72.13
  317   27457.8   26533.6   72.13
  317   27457.8   26533.6   72.13
  318   36100.8   34335.8   70.49
  318   36100.8   34335.8   70.49
  319   38584.3   36044.5   73.34
  320   32914.3   31515.7   59.82
  320   32914.3   31515.7   59.82
  321   37820.1   36747.6   77.09
  322   32549.6   31560.3   65.98
  322   32549.6   31560.3   65.98
  323   35678.6   36296.6   -8.42
  323   35678.6   36296.6   -8.42
  323   35678.6   36296.6   -8.42
  323   35678.6   36296.6   -8.42
  324   38518.8   38953.4   -4.90
  324   38518.8   38953.4   -4.90
  325   41243.4   42125.1   -3.33
  325   41243.4   42125.1   -3.33
  325   41243.4   42125.1   -3.33
  326   30242.3   29077.6   77.23
  326   30242.3   29077.6   77.23
  326   30242.3   29077.6   77.23
  326   30242.3   29077.6   77.23
  326   30242.3   29077.6   77.23
  326   30242.3   29077.6   77.23
  327   36707.4   37965.9    6.39
  327   36707.4   37965.9    6.39
  327   36707.4   37965.9    6.39
  327   36707.4   37965.9    6.39
  327   36707.4   37965.9    6.39
  328   36256.6   35426.6   76.79
  329   28923.5   29310.4   11.22
  329   28923.5   29310.4   11.22
  329   28923.5   29310.4   11.22
  329   28923.5   29310.4   11.22
  330   44309.0   46372.3   -6.38
  331   41391.7   40853.7   62.62
  331   41391.7   40853.7   62.62
  331   41391.7   40853.7   62.62
  331   41391.7   40853.7   62.62
  332   41708.4   40030.9   66.39
  333   35703.9   36717.4   -7.78
